Ref|Numero_dossier|Comite|Code_entreprise|Materiel|Resume|Adresse_pdf|Metier|Sexe|Age|Type_accident|Blessure|Deces|Circulation|Malaise|Suicide|Machine|Cause|Zone|Status|Zone_precise|Zone.Zone|Zone.Zone_NA
https://epicea.inrs.fr/servlet/public_display?unid=5E5C36B2661D79B4C125719D005681BD|20057|E - Chimie, caoutchouc, plasturgie|244CB - Fabrication de produits de base pour la pharmacie, d'alcaloïdes, de glucosides et dérivés, de produits extraits des algues. Fabrication de spécialités pharmaceutiques|110190 - Autre type de machine à remplir, emballer, conditionner|Le rôle de la victime - 45 ans, conductrice de machine - consiste à alimenter la machine en comprimés et en matériaux de conditionnement, puis à évacuer les blisters. La machine déroule un film PVC. Un premier élément chauffe le film PVC et une platine le met en forme (carter n°1). Les comprimés sont déposés dans l'alvéole. Le film passe ensuite dans un élément qui colle le film aluminium. Une platine découpe l'ensemble PVC + aluminium (carter n°2). Le film découpé tombe dans un bac de récupération (carter n°3). Suite à un dysfonctionnement, la victime a sollicité l'intervention d'un opérateur du service maintenance. L'opérateur a passé la machine en mode réglage, ce qui a permis de la faire avancer en vitesse lente avec un appui maintenu et les trois carters ouverts. C'est alors que l'opératrice a voulu tirer le PVC. Le bout de l'index de sa main droite a été sectionné par la platine.|[]|Technicien de maintenance|Femme|45.0|Chute|Sectionnement doigt|Non|Non|Non|Non|machine PVC|dysfonctionnement|main|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=7D2F78EC8D4A83A6C125719D0053A11A|12123|E - Chimie, caoutchouc, plasturgie|244CB - Fabrication de produits de base pour la pharmacie, d'alcaloïdes, de glucosides et dérivés, de produits extraits des algues. Fabrication de spécialités pharmaceutiques|279000 - Autre matériel de production, de transformation d'énergie|La victime, dessinateur, âgée de 29 ans, était à proximité du réacteur ***. Lors de l'essai d'étanchéité du couvercle du réacteur sous 240 bars d'hydrogène, une canalisation s'est dessertie provoquant une explosion avec un début d'incendie. L'accident a fait 5 blessés.|[]|dessinateur|Femme|29.0|explosion|5 blessés|Non|Non|Non|Non|réacteur|desserrement d'une canalisation||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=EF522663CE56B8CAC125719D0055DEDE|17938|A - Métallurgie|295EC - Fabrication de machines pour les industries du process (chimie, alimentation, plasturgie, caoutchouc)|998000 - Sans objet|La victime, 49 ans, technicien service après vente, a été agressée sur une autoroute. Les circonstances exactes restent floues. Elle est décédée des suites de coups à la tête et au corps.|[]|technicien service après vente|Femme|49.0|agression|coups à la tête et au corps|Oui|Non|Non|Non||||Analysé|tete, corps||
https://epicea.inrs.fr/servlet/public_display?unid=FC1DF2D943D2E8BAC125719D00516A5C|6208|D - Services, commerces et industries de l'alimentation|158VB - Industries alimentaires non classées par ailleurs|110127 - Machine à coller les étiquettes|"Lors de l'étiquetage, des étiquettes se sont coincées dans les tambours de la machine. Pour les dégager et nettoyer, la victime - magasinier depuis dix ans, âgé de 31 ans - a ouvert les portes qui provoquent l'arrêt de la machine. Ne pouvant dégager correctement, elle a remis la machine en fonction ""portes ouvertes"", par action maintenue sur la commande prévue à cet effet. En essayant simultanément de récupérer les étiquettes, les tambours ont entraîné et coincé la main de la victime."|[]|magasinier|Homme|31.0|Chute|Amputation de main|Non|Non|Non|Non|étiquetage|manipulation des portes non sûrement|main|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=1E9FA448477466A8C125719D005218C3|8185|D - Services, commerces et industries de l'alimentation|157AB - Malterie, meunerie, fabrication de pâtes alimentaires et semoule|130159 - Conteneur|La victime - manutentionnaire, âgé de 59 ans - aide un responsable du service au revidage d'un container renfermant des germes de blé, dans un camion qui se trouve à un niveau inférieur. Le container est posé sur les fourches d'un gerbeur à 70 cm du sol car les germes de blé se collent aux parois et il est nécessaire de procéder manuellement au débourrage. Il faut noter que l'écartement des fourches du gerbeur n'est pas suffisant pour se loger dans des emplacements prévus sous le container. Le responsable de service qui dirige l'opération, constate que la vis de chargement qui se situe au-dessus du camion, est arrêtée. Il demande à la victime de stopper l'opération de vidage et se rend au niveau inférieur, lorsqu'un bruit sourd se produit. Le responsable découvre la victime sous le container qui repose sur le sol en prenant appui sur le mur. Trois hypothèses sont à retenir : la victime passait accidentellement au moment où le container s'est renversé ; elle a voulu retenir le container qui se renversait ; la victime procédait à une opération de décolmatage du produit et la chute brutale des germes de blé a provoqué le déséquilibre du container. Le salarié a eu la clavicule, le thorax et le bassin écrasés et a été hospitalisé.|[]|manutentionnaire|Homme|59.0|Chute|Ecrasement|Non|Non|Non|Non|camion|Manipulation de conteniteur, Faute mecanique|torse|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=19B1075C8BFBEEBAC125719D00529455|9211|E - Chimie, caoutchouc, plasturgie|244CB - Fabrication de produits de base pour la pharmacie, d'alcaloïdes, de glucosides et dérivés, de produits extraits des algues. Fabrication de spécialités pharmaceutiques|051402 - Voiture|La victime - directeur commercial, âgé de 41 ans - rentrait d'un rendez-vous de clientèle à bord de sa voiture. Elle a été heurtée par une autre voiture roulant en sens inverse sur la voie gauche. La victime est décédée sur le coup.|[]|directeur commercial|Femme|41.0|Accident de voiture|Décédée sur le coup|Oui|Non|Non|Non|voiture|Heurt par une autre voiture||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=A1EED8B5C36B4A08C125719D0052143A|8135|E - Chimie, caoutchouc, plasturgie|241GM - Chimie organique de synthèse (de produits non désignés ailleurs). Fabrication de pigments minéraux, de compositions de base de pigments, de compositions et couleurs vitrifiables pour émaux, de chlorure / soude électrolytique, lessive soude électrolytique, de chlorure / sodium (électrolyse ignée), de charbons actifs pour filtres, de noir animal, de charbon animal, d'acide sulfurique et dérivés, de produits minéraux divers, d'acide tartrique, citrique et dérivé, de papier carbone, stencils. Salines ignigènes. Dénaturation d'alcool éthylique|070301 - Chariot automoteur à fourche frontal à conducteur porté|Le travail consiste à charger un camion de palettes de produits. La victime, âgée de 40 ans, chargée de désigner les palettes pour alimenter le chariot *** conduit par un salarié, vient chercher les renseignements auprès du contrôleur qui supervise le chargement du camion. Les deux contrôleurs se tiennent du côté gauche du chariot qui, à ce moment, positionne deux palettes. La victime repart en lisant les feuilles de contrôle. Le conducteur du chariot automoteur à manutention recule pour se positionner afin de reprendre ses palettes. Au cours de la manoeuvre la roue arrière gauche du chariot blesse la victime manutentionnaire à la jambe gauche.|[]|Opérateur de chargement|Homme|40.0|Blessure par machine|Contusion|Non|Non|Non|Non|Chariot automoteur|Manœuvre de manutention inadéquate|jambe|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=CE9B9CF78B44241EC125719D005568BA|16439|D - Services, commerces et industries de l'alimentation|158VB - Industries alimentaires non classées par ailleurs|170504 - Découenneuse - trancheuse|Le salarié, âgé de 21 ans, est agent de préparation. Au moment de l'accident, il dégage avec les mains la pâte accumulée au cours de la coupe du reblochon avec une machine à trancher le jambon *** sans mettre le couteau à l'arrêt. L'extrémité de son auriculaire gauche a été coupée par la lame restée en mouvement.|[]|agent de préparation|Homme|21.0|Chute|Coup de lame|Non|Non|Non|Non|machine à trancher le jambon|absence d'arrêt du couteau|main|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=848B329E2D6A403CC125719D00548A39|14547|D - Services, commerces et industries de l'alimentation|158VB - Industries alimentaires non classées par ailleurs|210301 - Extrudeuse - pastilleuse|La victime - agent de production, 26 ans - procédait à la mise en fabrication des boudins de pâte de céréales fourrées, à la sortie du co-extrudeur. Suite à un bourrage sur le tapis d'entrée de la pâte, l'opérateur a levé le carter protégeant le porte-couteau pour intervenir directement sur les couteaux, sans arrêter la machine. Sa main droite protégée par un gant, a aussitôt été entraînée et ses doigts ont été écrasés entre les jeux de couteaux. Il a pu néanmoins appuyer sur un arrêt d'urgence installé sur le pupitre de commande. La victime a été hospitalisée.|[]|agent de production|Homme|26.0|Chute|Ecrasement des doigts|Non|Non|Non|Non|co-extrudeur|bourrage|main|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=6AABA5CC0223E828C125719D0054EDF9|15254|E - Chimie, caoutchouc, plasturgie|274CG - Electrométallurgie et électrochimie associées. Métallurgie de l'aluminium et des autres métaux légers. Fabrication d'électrodes pour l'électrométallurgie et l'électrochimie en graphite, carbone amorphe, de charbon artificiel à usage électrique, d'abrasifs appliqués, de carbure de calcium et silicium, de siliciure de calcium et de corindon artificiel|410801 - Matière métallique découpée aux dimensions prédéterminées|La victime, âgée de 48 ans, est cariste dans une entreprise fabriquant des électrodes graphite. Lors de la manutention de fûts métalliques (diamètre 700, longueur 6 m, masse 600 kg), une pile s'est effondrée, heurtant la victime. Celle-ci se trouvait à proximité de cette pile pour aider le conducteur du chariot élévateur dans la manutention des fûts.|[]|fabricant d'électrodes graphite|Homme|48.0|Chute|Contusion|Non|Non|Non|Non|chariot élévateur|Défaillance du matériel||Analysé|||
